"[0.5491724, 0.4707192, 0.6276256, 0.4314926, 0.0, 1.569064, 1.1375714, -0.3138128, -0.1176798, 2.2751428, -0.5491724, -0.392266, 1.4513842, 1.2552512, -0.196133, -0.2353596, 1.372931, 1.9221034, -0.784532, 0.588399]","[-10.002783, -10.198916, -8.7867584, -10.0812362, -10.5519554, -10.6696352, -9.3751574, -11.1403544, -11.5326204, -8.7867584, -11.0226746, -11.0226746, -9.7674234, -9.1790244, -11.3364874, -10.0812362, -9.7674234, -8.629852, -10.198916, -10.1204628]","[1.4513842, 1.7259704, 2.1182364, 1.96133, 1.8044236, 1.4121576, 0.5491724, 2.6281822, 3.2165812, 1.4121576, 2.2751428, 1.8044236, 1.2160246, 1.0198916, 2.0005566, 2.4320492, 1.7259704, 1.4906108, 1.765197, 1.8436502]",7
"[1.4906108, 0.5099458, -0.0392266, 0.6668522, 0.7453054, 0.392266, -1.9221034, -0.1176798, 1.0983448, 1.1375714, -0.0784532, 0.392266, 0.8237586, 0.392266, 0.8237586, 0.3138128, 0.7453054, 0.588399, 0.588399, 0.5099458]","[-10.8265416, -10.2773692, -10.0420096, -10.2381426, -10.198916, -9.6889702, -10.6696352, -11.8464332, -10.5519554, -10.3165958, -10.2773692, -10.8265416, -10.3165958, -9.8851032, -10.6304086, -11.9248864, -10.3558224, -9.8851032, -10.1596894, -10.5519554]","[1.8436502, 1.8436502, 1.6475172, 1.8828768, 1.96133, 2.0005566, 1.6867438, 1.8828768, 1.6867438, 1.6867438, 1.96133, 2.4320492, 1.5298374, 1.6475172, 2.3928226, 1.8436502, 1.569064, 2.0005566, 1.9221034, 0.9022118]",7
"[0.784532, 0.4314926, 0.6668522, 0.4707192, 0.2745862, 0.5491724, 0.2745862, 0.8629852, 0.8237586, 0.196133, 0.2353596, 1.4121576, 1.0198916, -0.3530394, 0.1176798, 1.2944778, 0.6276256, 0.0392266, 0.980665, 1.96133]","[-10.4735022, -10.395049, -10.1596894, -10.5519554, -10.395049, -10.0812362, -12.0425662, -9.4928372, -10.6696352, -11.0226746, -11.6503002, -9.9635564, -9.3359308, -10.8265416, -10.7480884, -11.1011278, -9.610517, -11.0619012, -10.395049, -10.9049948]","[1.0983448, 2.1182364, 2.5889556, 1.5298374, 1.3337044, 2.2751428, 1.5298374, 1.765197, 1.6082906, 1.8044236, 1.569064, 1.2552512, 1.8044236, 2.2359162, 1.8436502, 1.4513842, 1.176798, 2.4712758, 1.9221034, 0.9022118]",7
"[0.9022118, -0.3138128, 0.1176798, 1.96133, -0.6668522, 0.4314926, 1.2552512, 0.7453054, 0.3530394, -0.0392266, 0.7453054, 2.745862, -1.0591182, 0.0392266, 1.569064, 0.980665, 0.0392266, -0.6668522, 1.2944778, 1.1375714]","[-9.8458766, -10.8657682, -10.4735022, -10.8265416, -9.3751574, -9.610517, -9.7281968, -10.5127288, -10.002783, -9.8458766, -9.6497436, -9.3751574, -11.2580342, -10.6304086, -9.414384, -9.9243298, -10.6696352, -11.571847, -9.4928372, -8.4729456]","[1.4121576, 3.0596748, 3.1773546, 1.0591182, 1.5298374, 1.8828768, 1.4513842, 1.9221034, 2.1182364, 2.0790098, 1.8828768, 0.3530394, 2.157463, 2.5889556, 0.7453054, 0.8237586, 2.5105024, 2.2751428, 1.2160246, 1.8436502]",7
"[-2.2359162, 0.0, 1.176798, 0.980665, -0.5491724, -0.3530394, 2.0397832, 1.569064, -0.6276256, -1.4906108, 1.372931, 0.5491724, -0.0392266, 0.9414384, 0.8237586, 0.784532, 0.9022118, 0.3138128, 0.4707192, 0.5491724]","[-11.4149406, -9.6889702, -10.4342756, -10.787315, -10.395049, -10.4735022, -10.6696352, -8.7083052, -9.7674234, -11.375714, -9.8851032, -10.591182, -10.1204628, -11.2188076, -10.7088618, -9.80665, -10.4735022, -11.1011278, -9.9243298, -10.5519554]","[4.0795664, 2.2751428, 1.176798, 1.96133, 2.2751428, 2.0790098, 1.4513842, 2.2359162, 2.0397832, 1.8828768, 1.8044236, 1.8044236, 1.9221034, 2.157463, 1.7259704, 1.9221034, 2.3928226, 2.353596, 0.5491724, 2.353596]",7
"[0.392266, 1.0198916, 0.4707192, 0.5491724, 0.5491724, 0.196133, 0.0, 0.7060788, 0.7453054, 0.9022118, 0.196133, 0.0, 0.196133, 0.8629852, 0.0, 0.0392266, -0.7453054, 2.0005566, 0.3530394, 0.0]","[-9.8851032, -9.8458766, -10.4342756, -10.0812362, -10.5519554, -11.1403544, -10.7480884, -7.7668668, -11.1011278, -8.9436648, -9.2967042, -10.395049, -11.6110736, -9.8458766, -8.6690786, -10.1596894, -8.433719, -10.1596894, -9.2967042, -11.375714]","[2.5105024, 1.372931, 1.372931, 1.8436502, 2.3928226, 1.7259704, 2.2751428, 2.7850886, 1.8044236, 1.8828768, 2.5105024, 2.2359162, 1.9221034, 1.569064, 2.4712758, 2.2359162, 3.4127142, 0.3138128, 1.6867438, 2.941995]",7
"[0.7453054, 1.7259704, 0.8629852, -0.196133, 0.0392266, 2.3143694, 0.8237586, 0.3138128, -0.1176798, 1.4513842, 0.8629852, -0.196133, -0.2745862, 2.2751428, 0.4707192, -0.4314926, 0.588399, 0.9414384, 0.0, -0.4707192]","[-10.6304086, -10.5519554, -10.2773692, -10.2773692, -11.4541672, -11.4149406, -9.5320638, -10.3165958, -10.5519554, -10.2773692, -9.022118, -10.2381426, -11.1011278, -9.3751574, -9.7281968, -10.4735022, -10.395049, -8.6690786, -11.4933938, -10.8657682]","[2.8243152, 0.980665, 1.372931, 2.745862, 2.3143694, 0.0392266, 1.4121576, 2.353596, 1.765197, 1.5298374, 1.372931, 2.4320492, 2.7066354, 0.8237586, 1.372931, 2.5105024, 1.4906108, 1.6475172, 2.1182364, 2.745862]",7
"[1.4121576, 0.9414384, 0.3530394, 0.0392266, 1.7259704, 0.0392266, -0.392266, 0.392266, 0.8629852, 0.6668522, -0.392266, -0.3138128, 1.2160246, 0.9414384, 0.2353596, 0.4707192, 0.7453054, 0.196133, 0.784532, 0.2745862]","[-9.4928372, -9.1790244, -10.2773692, -10.1596894, -10.0420096, -10.4342756, -10.7480884, -10.1596894, -10.1204628, -10.395049, -10.8657682, -10.9442214, -9.4536106, -9.7674234, -10.002783, -11.1403544, -10.4342756, -10.8657682, -10.3165958, -11.0226746]","[1.765197, 1.372931, 2.1182364, 3.0204482, 1.4121576, 2.0790098, 2.0790098, 1.765197, 1.8436502, 1.6867438, 2.157463, 1.8828768, 1.8828768, 2.0790098, 1.8044236, 2.0790098, 1.1375714, 1.4121576, 2.2359162, 2.1182364]",7
"[0.7453054, 0.4707192, 0.588399, 0.980665, 0.784532, 0.588399, 0.6276256, 0.2353596, -0.1176798, 0.6276256, 0.196133, 0.9022118, 1.2160246, -0.0392266, 0.588399, 1.0983448, 0.392266, -0.1569064, 0.8629852, 0.6276256]","[-9.80665, -10.7480884, -10.787315, -10.983448, -10.198916, -9.5712904, -10.0812362, -10.9442214, -10.6304086, -10.1596894, -13.1016844, -9.414384, -9.1005712, -10.9442214, -10.591182, -9.9243298, -7.84532, -10.591182, -10.1596894, -6.5900688]","[1.0591182, 0.7453054, 2.0397832, 1.96133, 1.2944778, 2.0005566, 2.4320492, 1.7259704, 2.353596, 1.6082906, 3.138128, 1.6082906, 1.8044236, 1.569064, 1.7259704, 1.3337044, 2.353596, 1.96133, 2.2751428, 2.1182364]",7
"[0.7453054, 0.4314926, 0.7060788, 1.6867438, 0.7060788, 0.1176798, 0.4314926, 1.2944778, 1.0198916, 0.4707192, 1.0983448, 1.0198916, 0.5491724, 0.0392266, 0.3530394, 1.4906108, 0.3530394, -1.176798, 1.765197, 0.5491724]","[-10.5127288, -10.1596894, -10.0420096, -10.395049, -11.4541672, -10.3558224, -11.2972608, -10.5127288, -10.395049, -10.4735022, -11.2188076, -10.591182, -8.1983594, -11.2188076, -10.9049948, -9.8458766, -9.8458766, -12.9055514, -9.4536106, -9.9635564]","[1.2552512, 2.7850886, 2.5889556, 1.1375714, 1.176798, 3.0596748, 1.96133, 0.9022118, 0.7453054, 3.334261, 1.7259704, 1.2160246, 1.569064, 2.4712758, 2.745862, 1.4121576, 1.5298374, 3.4127142, 0.7060788, 1.4513842]",7
